period_month,fuel2002,fuel_name,total_consumption,total_consumption_units,state_count
2018-01-01,DFO,Distillate Fuel Oil,3418051.000000,barrels,14
2018-01-01,RFO,Residual Fuel Oil,2934873.000000,barrels,12
2018-02-01,DFO,Distillate Fuel Oil,168309.000000,barrels,14
2018-02-01,RFO,Residual Fuel Oil,66326.000000,barrels,12
2018-03-01,DFO,Distillate Fuel Oil,162117.000000,barrels,14
2018-03-01,RFO,Residual Fuel Oil,59615.000000,barrels,12
2018-04-01,DFO,Distillate Fuel Oil,208825.000000,barrels,13
2018-04-01,RFO,Residual Fuel Oil,69166.000000,barrels,12
2018-05-01,DFO,Distillate Fuel Oil,285601.000000,barrels,14
2018-05-01,RFO,Residual Fuel Oil,57348.000000,barrels,12
2018-06-01,DFO,Distillate Fuel Oil,271277.000000,barrels,14
2018-06-01,RFO,Residual Fuel Oil,179921.000000,barrels,12
2018-07-01,DFO,Distillate Fuel Oil,192423.000000,barrels,14
2018-07-01,RFO,Residual Fuel Oil,128137.000000,barrels,12
2018-08-01,DFO,Distillate Fuel Oil,204791.000000,barrels,14
2018-08-01,RFO,Residual Fuel Oil,145419.000000,barrels,12
2018-09-01,DFO,Distillate Fuel Oil,190181.000000,barrels,14
2018-09-01,RFO,Residual Fuel Oil,57715.000000,barrels,12
2018-10-01,DFO,Distillate Fuel Oil,186386.000000,barrels,14
2018-10-01,RFO,Residual Fuel Oil,32470.000000,barrels,12
2018-11-01,DFO,Distillate Fuel Oil,291670.000000,barrels,14
2018-11-01,RFO,Residual Fuel Oil,60909.000000,barrels,12
2018-12-01,DFO,Distillate Fuel Oil,241426.000000,barrels,14
2018-12-01,RFO,Residual Fuel Oil,46633.000000,barrels,12
2019-01-01,DFO,Distillate Fuel Oil,677157.000000,barrels,14
2019-01-01,RFO,Residual Fuel Oil,347759.000000,barrels,12
2019-02-01,DFO,Distillate Fuel Oil,208288.000000,barrels,14
2019-02-01,RFO,Residual Fuel Oil,72458.000000,barrels,12
2019-03-01,DFO,Distillate Fuel Oil,102367.000000,barrels,14
2019-03-01,RFO,Residual Fuel Oil,38710.000000,barrels,12
2019-04-01,DFO,Distillate Fuel Oil,94815.000000,barrels,14
2019-04-01,RFO,Residual Fuel Oil,21153.000000,barrels,12
2019-05-01,DFO,Distillate Fuel Oil,112532.000000,barrels,14
2019-05-01,RFO,Residual Fuel Oil,17319.000000,barrels,12
2019-06-01,DFO,Distillate Fuel Oil,111180.000000,barrels,14
2019-06-01,RFO,Residual Fuel Oil,24207.000000,barrels,12
2019-07-01,DFO,Distillate Fuel Oil,156505.000000,barrels,14
2019-07-01,RFO,Residual Fuel Oil,149614.000000,barrels,12
2019-08-01,DFO,Distillate Fuel Oil,149822.000000,barrels,14
2019-08-01,RFO,Residual Fuel Oil,151814.000000,barrels,12
2019-09-01,DFO,Distillate Fuel Oil,123291.000000,barrels,14
2019-09-01,RFO,Residual Fuel Oil,18323.000000,barrels,12
2019-10-01,DFO,Distillate Fuel Oil,110999.000000,barrels,14
2019-10-01,RFO,Residual Fuel Oil,29226.000000,barrels,12
2019-11-01,DFO,Distillate Fuel Oil,140620.000000,barrels,14
2019-11-01,RFO,Residual Fuel Oil,32509.000000,barrels,12
2019-12-01,DFO,Distillate Fuel Oil,177826.000000,barrels,14
2019-12-01,RFO,Residual Fuel Oil,72286.000000,barrels,12
2020-01-01,DFO,Distillate Fuel Oil,158425.000000,barrels,14
2020-01-01,RFO,Residual Fuel Oil,50415.000000,barrels,12
2020-02-01,DFO,Distillate Fuel Oil,137297.000000,barrels,14
2020-02-01,RFO,Residual Fuel Oil,57415.000000,barrels,12
2020-03-01,DFO,Distillate Fuel Oil,83864.000000,barrels,14
2020-03-01,RFO,Residual Fuel Oil,39582.000000,barrels,12
2020-04-01,DFO,Distillate Fuel Oil,67984.000000,barrels,14
2020-04-01,RFO,Residual Fuel Oil,16899.000000,barrels,12
2020-05-01,DFO,Distillate Fuel Oil,110403.000000,barrels,14
2020-05-01,RFO,Residual Fuel Oil,25358.000000,barrels,12
2020-06-01,DFO,Distillate Fuel Oil,127228.000000,barrels,14
2020-06-01,RFO,Residual Fuel Oil,46639.000000,barrels,12
2020-07-01,DFO,Distillate Fuel Oil,181182.000000,barrels,14
2020-07-01,RFO,Residual Fuel Oil,115555.000000,barrels,12
